Disease Term,Id,Description
Urogenital Abnormalities,186,"Urogenital Abnormalities refer to birth defects or disorders related to the urinary and reproductive systems, potentially impacting kidneys, bladder, genitalia or the reproductive process."
"Cardiomyopathy, Hypertrophic, Familial",187,"A genetic disorder characterized by thickening of the heart muscle, making it harder for the heart to pump blood."
Connective Tissue Diseases,188,"These are a variety of disorders that involve dysfunctions in the body's connective tissues, which include elements like collagen and elastin, and may manifest in conditions like lupus, rheumatoid arthritis, and Ehlers-Danlos Syndrome."
Leydig Cell Tumor,189,"Leydig Cell Tumor is a rare, usually benign growth that forms in the testicles, stemming from the hormone-producing Leydig cells and it may cause symptoms of hormone excess such as gynecomastia and sexual precocity."
Aneurysm,190,"An aneurysm is a bulge or ballooning in the wall of an artery, often appearing in the aorta or the brain, which can lead to life-threatening complications if it ruptures."
Behcet Syndrome,191,"Behcet Syndrome is a chronic and rare disorder that causes inflammation in blood vessels throughout the body, often characterized by recurrent oral and genital sores and eye inflammation."
"Infertility, Female",192,This condition refers to a woman's inability to conceive and become pregnant despite having regular unprotected sex for at least a year.
Glioma,193,Glioma is a type of tumor that starts in the glial cells of the brain or the spine.
Fanconi Syndrome,194,"Fanconi Syndrome is a metabolic disorder where a person's kidneys cannot fully reabsorb certain substances into the body, resulting in loss of essential ingredients like glucose, bicarbonate, and amino acids into the urine."
Mucositis,195,"Mucositis is a painful inflammation and ulceration of the mucous membranes lining the digestive tract, often an adverse effect of chemotherapy and radiotherapy in cancer patients."
Pseudohypoaldosteronism,196,"Pseudohypoaldosteronism is a condition primarily affecting infants and children, characterized by resistance to the hormone aldosterone, leading to salt loss, high potassium levels, and low blood pressure."
Dyssomnias,197,"Dyssomnias are a group of sleep disorders characterized by difficulty falling asleep, staying asleep, or experiencing excessive sleepiness."
Creutzfeldt-Jakob Syndrome,198,"It is a rare, degenerative, and fatal brain disorder characterized by rapidly progressive dementia and neuromuscular disturbances."
Arsenic Poisoning,199,"Arsenic poisoning is a medical condition that occurs due to elevated levels of arsenic in the body, leading to vomiting, abdominal pain, encephalopathy, and watery diarrhea that contains blood."
"Gangliosidosis, GM1",200,"GM1 Gangliosidosis is a genetic disorder characterized by the body's inability to adequately break down lipids, leading to developmental issues and potential neurological damage."
Myasthenia Gravis,201,"A chronic autoimmune neuromuscular disease that causes weakness in the skeletal muscles, which control movement."
Hydrocephalus,202,"Hydrocephalus is a condition characterized by an excessive accumulation of fluid in the brain, potentially causing developmental, physical, and intellectual impairments."
Sweat Gland Diseases,203,"These are conditions or abnormalities that affect the sweat glands leading to excessive sweating, insufficient sweating, or infections within the sweat ducts."
Duane Retraction Syndrome,204,"Duane Retraction Syndrome is a rare, congenital eye movement disorder characterized by restricted horizontal eye movement, retraction of the eyeball into the socket and, in some cases, other eye abnormalities."
Rubinstein-Taybi Syndrome,205,"A rare genetic disorder characterized by broad thumbs and toes, intellectual disability, distinctive facial features, and growth problems."
Motor Neuron Disease,206,"Motor Neuron Disease is a rare, progressive neurologic disorder characterized by the destruction of motor neurons, the cells that control voluntary muscle movements, leading to muscle weakness and disability."
Night Blindness,207,"Night blindness is a difficulty seeing in low light situations, often caused by certain vitamin deficiencies or poor vision."
Soft Tissue Neoplasms,208,"These are tumors (malignant or benign) that develop in the soft tissues of the body such as muscles, tendons, fat, blood vessels, nerves, and synovial tissues."
Methemoglobinemia,209,"Methemoglobinemia is a blood disorder characterized by an increased level of methemoglobin, a form of hemoglobin that has a reduced ability to release oxygen to body tissues."
"Pulmonary Disease, Chronic Obstructive",210,"A long-term lung condition characterized by difficulties in breathing due to poor airflow with symptoms including cough, mucus production, and wheezing."
Dwarfism,211,"Dwarfism is a medical condition that leads to short stature, usually resulting from a genetic mutation affecting bone growth."
"Fatigue Syndrome, Chronic",212,"Chronic Fatigue Syndrome is a complex, long-term illness characterized by extreme fatigue that does not improve with rest and may worsen with physical or mental activity."
Hemorrhage,213,"Hemorrhage refers to excessive or uncontrolled bleeding from blood vessels often due to trauma, surgery, or certain medical conditions."
Vesico-Ureteral Reflux,214,"This is a condition where urine in the bladder flows back into the ureters and often back into the kidneys, potentially causing infections and kidney damage."
Migraine with Aura,215,"This is a type of migraine headache characterized by neurological symptoms, including visual disturbances, sensory changes (such as tingling in arms or face), or speech difficulties before the onset of the actual headache."
Incontinentia Pigmenti,216,"Incontinentia Pigmenti is a rare genetic disorder that affects the skin and can lead to abnormalities in several organ systems, including the eyes, teeth, skeleton, and central nervous system."
Rhabdomyosarcoma,217,"Rhabdomyosarcoma is a rare, aggressive type of cancer that forms in soft tissue—specifically skeletal muscle cells—and can occur at any age, but often affects children."
"Lymphohistiocytosis, Hemophagocytic",218,"Hemophagocytic Lymphohistiocytosis (HLH) is a rare disease characterized by abnormal activation of the immune system, leading to severe inflammation and potential organ damage."
Learning Disorders,219,"Learning disorders are neurologically-based disorders that cause difficulties with acquiring basic academic skills such as reading, writing, and math."
Penile Diseases,220,"Penile diseases refer to any abnormal conditions that affect the penis, including skin conditions, cancers, Peyronie's disease, erectile dysfunction, and sexually transmitted diseases."
Hypothyroidism,221,"Hypothyroidism is a condition characterized by an underactive thyroid gland, which results in a deficiency in the production of thyroid hormones, leading to symptoms like fatigue, sensitivity to cold, and weight gain."
